x,y,type,colour
285,1568,forest,red
370,1568,forest,red
690,1565,forest,red
765,1589,forest,red
830,1589,forest,red
898,1589,forest,red
2036,1470,forest,red
2106,1470,forest,red
2172,1465,forest,red
2240,1457,forest,red
2511,1443,forest,red
2579,1453,forest,red
2644,1459,forest,red
2715,1461,forest,red
2788,1451,forest,red
3051,1467,forest,red
3124,1453,forest,red
3192,1450,forest,red
3257,1450,forest,red
3323,1450,forest,red
160,1150,forest,red
224,1185,forest,red
291,1215,forest,red
358,1230,forest,red
900,1242,forest,red
965,1242,forest,red
2722,1150,forest,red
2790,1160,forest,red
2856,1170,forest,red
2928,1150,forest,red
296,853,forest,red
423,892,forest,red
692,899,forest,red
834,938,forest,red
965,953,forest,red
1190,950,forest,red
2584,850,forest,red
2655,856,forest,red
2724,835,forest,red
826,565,forest,red
895,630,forest,red
967,644,forest,red
1033,590,forest,red
2319,510,forest,red
2382,515,forest,red
2455,513,forest,red
2520,500,forest,red
958,262,forest,red
1031,259,forest,red
430,1450,grass,green
499,1450,grass,green
568,1480,grass,green
632,1510,grass,green
971,1535,grass,green
1038,1525,grass,green
1108,1515,grass,green
1172,1510,grass,green
1239,1505,grass,green
1307,1495,grass,green
1375,1485,grass,green
1439,1480,grass,green
2855,1445,grass,green
2922,1442,grass,green
2995,1457,grass,green
434,1230,grass,grey
495,1229,grass,grey
564,1228,grass,grey
634,1227,grass,grey
701,1226,grass,grey
766,1225,grass,grey
833,1225,grass,grey
1039,1245,grass,green
1106,1250,grass,green
1177,1237,grass,green
1242,1200,grass,green
1307,1187,grass,green
1375,1175,grass,green
1440,1162,grass,green
2587,1130,grass,green
2655,1140,grass,green
3058,1140,grass,green
3134,1125,grass,green
497,894,grass,grey
560,894,grass,grey
628,894,grass,grey
892,900,grass,grey
1230,894,grass,green
1307,880,grass,green
1374,865,grass,green
1438,850,grass,green
1106,575,grass,grey
1169,577,grass,grey
1234,574,grass,grey
1306,560,grass,grey
1374,535,grass,grey
1436,518,grass,grey
482,170,grass,grey
565,190,grass,grey
764,185,grass,grey
1099,246,grass,grey
1167,235,grass,grey
1237,224,grass,grey
1304,212,grass,grey
1370,202,grass,grey
1436,192,grass,grey
180,802,oranges,yellow
260,805,oranges,yellow
303,481,oranges,yellow
376,490,oranges,yellow
2460,165,oranges,yellow
2530,175,oranges,yellow
2604,170,oranges,yellow
1970,152,sugar,yellow
2042,152,sugar,yellow
2110,150,sugar,yellow
1773,150,rice,yellow
1840,150,rice,yellow
1909,150,rice,yellow
227,1436,wheat,green
1499,1474,wheat,green
1567,1463,wheat,green
1637,1456,wheat,green
1706,1448,wheat,green
1769,1450,wheat,green
1834,1460,wheat,green
1904,1465,wheat,green
1972,1470,wheat,green
1506,840,wheat,green
1569,835,wheat,green
1639,830,wheat,green
1704,825,wheat,green
1769,815,wheat,green
1835,810,wheat,green
1902,810,wheat,green
1972,805,wheat,green
2381,815,wheat,green
2450,825,wheat,green
2518,835,wheat,green
2781,815,wheat,green
2850,805,wheat,green
2918,795,wheat,green
1503,1153,maize,green
1567,1143,maize,green
1634,1136,maize,green
1702,1135,maize,green
1768,1127,maize,green
1836,1127,maize,green
1901,1122,maize,green
1971,1121,maize,green
2041,1127,maize,green
2105,1133,maize,green
2242,1123,maize,green
2311,1129,maize,green
2375,1120,maize,green
2045,801,maize,green
2110,801,maize,green
2174,796,maize,green
2247,800,maize,green
2313,805,maize,green
1518,505,cotton,blue
1659,495,cotton,blue
1797,490,cotton,blue
1940,490,cotton,blue
2079,500,cotton,blue
2215,505,cotton,blue
2608,490,cotton,blue
2754,485,cotton,blue
1520,180,cotton,blue
1655,165,cotton,blue




